distance  ,nan, angle_to_goal(rad)  ,-0.0324795, inc_x  ,277, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0288728, inc_x  ,277, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0288728, inc_x  ,277, inc_y  ,-8
distance  ,0.762541, angle_to_goal(rad)  ,-0.028769, inc_x  ,278, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.028769, inc_x  ,278, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0399787, inc_x  ,275, inc_y  ,-11
distance  ,14.7937, angle_to_goal(rad)  ,-0.0283612, inc_x  ,282, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0283612, inc_x  ,282, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0209759, inc_x  ,286, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0209759, inc_x  ,286, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0274845, inc_x  ,291, inc_y  ,-8
distance  ,1.68458, angle_to_goal(rad)  ,-0.0345883, inc_x  ,289, inc_y  ,-10
distance  ,1.39552, angle_to_goal(rad)  ,-0.0344691, inc_x  ,290, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0373975, inc_x  ,294, inc_y  ,-11
distance  ,nan, angle_to_goal(rad)  ,-0.0169475, inc_x  ,295, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.0169475, inc_x  ,295, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.0169475, inc_x  ,295, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.0169475, inc_x  ,295, inc_y  ,-5
distance  ,nan, angle_to_goal(rad)  ,-0.0203362, inc_x  ,295, inc_y  ,-6
distance  ,0.744477, angle_to_goal(rad)  ,-0.0203362, inc_x  ,295, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.027112, inc_x  ,295, inc_y  ,-8
distance  ,-inf, angle_to_goal(rad)  ,-0.030918, inc_x  ,291, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0341165, inc_x  ,293, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0341165, inc_x  ,293, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.023805, inc_x  ,294, inc_y  ,-7
distance  ,nan, angle_to_goal(rad)  ,-0.0202675, inc_x  ,296, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.00342464, inc_x  ,292, inc_y  ,-1
distance  ,-inf, angle_to_goal(rad)  ,-0.0136978, inc_x  ,292, inc_y  ,-4
distance  ,nan, angle_to_goal(rad)  ,-0.0136978, inc_x  ,292, inc_y  ,-4
distance  ,0.480522, angle_to_goal(rad)  ,-0.0137922, inc_x  ,290, inc_y  ,-4
distance  ,0.448706, angle_to_goal(rad)  ,-0.00694433, inc_x  ,288, inc_y  ,-2
distance  ,nan, angle_to_goal(rad)  ,-0.0209759, inc_x  ,286, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,-0.0311318, inc_x  ,289, inc_y  ,-9
distance  ,0.504146, angle_to_goal(rad)  ,-0.030918, inc_x  ,291, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.030918, inc_x  ,291, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0308122, inc_x  ,292, inc_y  ,-9
distance  ,nan, angle_to_goal(rad)  ,-0.0236442, inc_x  ,296, inc_y  ,-7
distance  ,nan, angle_to_goal(rad)  ,-0.0236442, inc_x  ,296, inc_y  ,-7
